;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
University of Cincin;1;3125;OH;I;533;464;997;23;460;610;400;520;20;26;6855;5553;2408;26;57;11036;2011;3234;8907;4697;2703;1994;498;556;1851;89;95;10,8;6;13889;54;666;483;393;535;856;622;506;688;447;410;244;12;1113
University of Toledo;1;3131;OH;I;504;447;951;20;430;640;390;560;19;25;3055;2959;1527;;;15428;5370;2693;7441;3719;2564;1155;706;550;500;81;83;20,4;5;6124;48;608;457;379;486;750;572;481;607;217;152;167;20;556
Oklahoma State Unive;1;3170;OK;I;540;477;1017;24;470;610;420;540;21;26;4522;3913;2181;29;57;12830;1658;1889;5336;3344;1758;1588;40;800;3100;84;92;15,3;14;6433;48;532;409;373;449;655;509;460;555;342;247;181;11;794
University of Oklaho;1;3184;OK;I;;;;24;;;;;21;27;4743;3970;2233;32;63;13436;2582;1737;5173;3526;;;166;765;3176;86;90;11,5;11;10244;44;600;445;368;470;752;563;468;593;286;225;236;24;778
Oregon State Univers;1;3210;OR;I;522;443;965;22;445;585;382;502;18;26;4675;3948;1637;;;10332;929;2841;7890;3444;1388;2056;50;543;2244;88;88;13,9;;9383;45;597;473;400;475;762;615;522;615;206;209;133;46;622
Portland State Unive;1;3216;OR;I;484;416;900;22;410;550;350;480;19;23;1623;1574;837;;;6194;4992;;;4365;2565;1800;;750;1098;78;78;20;18;6618;24;544;437;382;474;693;564;498;609;205;113;77;16;411
University of Oregon;1;3223;OR;I;;;;;470;600;430;540;;;8631;6732;2546;25;61;11669;1605;3090;10602;3660;;;;570;1530;79;87;19,7;13;8020;54;597;446;375;459;762;579;488;594;240;182;152;89;671
Carnegie Mellon Univ;2;3242;PA;I;679;555;1234;28;630;740;500;620;26;31;8728;5201;1191;60;89;4265;291;17900;17900;5690;3520;2170;;450;1250;86;93;9,2;31;24386;74;829;566;499;678;994;691;617;820;256;138;125;4;523
Drexel University   ;2;3256;PA;I;550;465;1015;;480;610;410;520;;;3451;2934;1118;23;50;5306;1963;12348;12348;6180;3630;2550;728;500;2280;;84;13,1;18;9583;61;674;496;459;568;843;619;570;709;153;114;73;0;341
Lehigh University   ;2;3289;PA;I;;;;;570;680;460;570;;;6397;4304;1092;40;84;4298;132;18700;18700;5580;3160;2420;250;750;1130;96;99;12,5;43;14665;91;757;543;448;635;955;700;568;805;216;118;77;4;416
Temple University   ;1;3371;PA;I;508;455;963;;456;564;412;511;;;7987;5145;2399;15;37;14726;4666;5314;10096;5282;3492;1790;150;600;3324;87;;11,2;;12231;45;736;579;454;606;913;724;568;755;490;332;291;37;1150
University of Pennsy;2;3378;PA;I;680;594;1274;29;640;730;550;650;27;31;12394;5232;2464;85;;9205;531;17020;17020;7270;3700;3570;1836;500;1544;95;96;6,3;38;25765;93;881;622;532;744;1086;831;712;945;541;240;212;0;993
University of Pittsb;1;3379;PA;I;537;480;1017;;480;590;420;530;;;8586;6383;2503;25;59;13138;4289;4962;10786;4560;2760;1800;454;400;900;93;93;7,8;10;13789;66;736;516;421;547;910;653;537;688;427;402;373;63;1325
Brown University    ;2;3401;RI;I;680;620;1300;28;640;730;570;680;26;32;12586;3239;1462;87;95;5643;349;19528;19528;5926;3574;2352;650;720;1100;99;;7,6;39;20440;97;752;515;433;625;956;659;554;797;286;;111;0;514
University of Rhode ;1;3414;RI;I;515;449;964;;460;560;400;490;;;9643;7751;1968;12;40;8894;2456;3004;10330;5558;3168;2390;1238;500;1250;84;89;16,6;7;9158;63;630;473;416;541;813;622;548;703;334;187;135;3;659
Clemson University  ;1;3425;SC;I;565;487;1052;;530;620;430;510;;;8065;5257;2301;37;65;11755;770;3036;8116;3610;1890;1720;;800;1618;82;88;18;17;7597;73;602;441;375;466;728;544;465;571;296;224;191;42;801
University of South ;1;3448;SC;I;520;465;985;22;460;580;400;520;19;25;7693;5815;2328;30;66;12594;3661;3196;8074;3522;3522;;;495;2941;84;88;16,9;18;8246;63;585;436;385;475;705;532;472;577;417;335;194;60;1034
University of Memphi;1;3509;TN;I;;;;22;;;;;20;26;3921;2557;1691;;;10621;4864;1974;5908;2500;1633;;68;500;900;77;80;16,9;11;6578;33;558;425;376;443;674;522;464;542;264;194;193;71;722
University of Tennes;1;3530;TN;I;525;468;993;23;460;590;410;530;21;26;7473;5372;3013;27;53;15749;3237;1830;5764;3262;1584;1678;222;750;3300;86;92;16,5;22;8612;53;600;454;402;501;756;570;500;630;535;325;202;65;1139
Vanderbilt Universit;2;3535;TN;I;640;559;1199;28;590;690;510;610;26;30;7791;4690;1499;71;92;5500;90;17865;17865;6525;4132;2393;964;630;952;93;98;5,8;26;23850;83;807;522;432;612;988;651;538;756;289;160;177;9;657
University of North ;1;3594;TX;I;526;467;993;23;460;590;420;520;20;24;4418;2737;2049;23;51;14047;5134;672;4104;3579;1840;1739;650;450;1700;86;94;22,6;6;5657;35;551;443;382;448;674;550;479;555;249;203;234;5;751
Rice University     ;2;3604;TX;I;;;;;665;763;592;708;;;7935;1514;633;87;95;2674;;9950;9950;5725;3100;2625;365;525;1330;91;;8,6;39;22836;91;809;548;481;663;992;682;593;816;224;89;91;8;422
Southern Methodist U;2;3613;TX;I;;;;;;;;;22;27;4301;3455;1166;41;69;4892;387;12772;12772;5078;2652;2426;;576;1802;74;88;13,5;17;12726;72;733;505;463;550;918;636;570;687;158;154;135;5;483
Texas Christian Univ;2;3636;TX;I;;;;;460;600;420;540;21;27;4095;3079;1195;33;64;5064;660;8490;8490;3320;1920;1400;990;650;2400;81;93;14,8;23;9158;64;654;477;423;511;811;599;518;632;107;109;99;9;336
Texas Southern Unive;1;3642;TX;I;390;420;810;19;;;;;;;4345;3245;2604;15;85;5584;3101;780;7860;3360;1680;1680;;600;1700;65;75;18,2;21;3605;10;551;455;366;423;684;573;469;535;83;82;104;50;331
Texas Tech Universit;1;3644;TX;I;526;456;982;23;460;590;400;510;20;25;6334;5051;2957;25;58;16785;2780;780;4860;3688;3688;;838;530;;82;92;24,7;24;5449;41;610;429;363;468;762;550;472;595;270;216;220;14;742
Texas Womans Univer;1;3646;TX;I;;;;;350;480;320;440;16;21;989;777;474;;;3791;1961;647;2279;2942;1502;1440;140;700;1200;67;70;14,3;6;6637;35;499;401;342;396;623;507;438;501;93;107;101;40;353
University of Housto;1;3652;TX;I;537;447;984;22;;;;;;;6233;3990;2150;32;65;15340;9355;672;4104;3980;;;690;600;;;;14,6;13;6895;32;681;462;398;520;836;585;510;651;341;288;238;24;903
University of Texas ;1;3656;TX;I;506;434;940;21;450;580;385;520;19;24;3281;2559;1448;19;43;10975;8431;1206;4422;2780;1440;1340;;500;2850;73;73;21;4;4696;29;581;438;395;455;724;557;506;577;185;224;137;0;608
University of Texas ;1;3658;TX;I;603;523;1126;25;546;670;466;588;23;28;14752;9572;5329;48;85;30017;5189;840;5130;3309;1733;1576;1068;650;3140;91;99;19,7;11;7837;65;732;476;432;577;888;599;548;713;997;439;480;30;2099
Brigham Young Univer;2;3670;UT;I;;;;;;;;;24;29;7365;5402;4615;48;82;27378;1253;2340;2340;3580;2112;1468;;860;1220;76;76;20,5;40;7916;33;661;504;431;543;851;668;577;711;577;382;304;49;1372
University of Utah  ;1;3675;UT;I;543;484;1027;24;450;620;410;550;21;26;5095;4491;2400;27;53;13894;8374;1954;6857;3975;1550;2425;427;858;3093;89;93;12,8;9;9275;37;615;432;383;498;792;574;514;652;388;231;216;25;860
Utah State Universit;1;3677;UT;I;520;480;1000;22;390;560;400;500;19;26;4281;3825;2426;26;53;10657;4257;1650;5775;3315;1335;1980;363;700;1460;83;93;18,7;10;7462;;518;403;364;420;688;546;497;567;199;165;158;20;583
University of Vermon;1;3696;VT;I;553;488;1041;;500;610;440;540;;;7663;6008;1735;18;51;7353;1674;6210;15516;4928;3148;1780;442;500;990;87;90;9,9;10;12646;79;606;450;370;458;770;586;486;592;175;174;115;0;555
College of William a;1;3705;VA;I;640;600;1240;;590;700;540;650;;;7117;3106;1217;68;88;5186;134;2808;11720;4298;2318;1980;1748;600;800;89;92;12,1;31;9534;93;679;499;382;525;827;621;484;650;185;132;123;30;470
Old Dominion Univers;1;3728;VA;I;494;440;934;;430;550;390;490;;;4569;3110;1251;18;39;8346;2501;3854;9464;4540;;;74;600;;79;86;15,1;17;6727;45;595;451;370;446;731;564;468;557;165;228;156;52;643
Virginia Commonwealt;1;3735;VA;I;488;449;937;;420;550;390;510;;;4963;3497;1567;18;45;10262;5065;3034;10217;4182;1620;2562;880;500;3630;81;87;8,7;11;11183;45;610;492;404;491;753;611;501;609;220;310;211;43;784
George Mason Univers;1;3749;VA;I;;;;;470;570;420;520;;;5653;4326;1727;17;29;9528;3822;4044;10800;4840;3150;1690;25;580;1050;93;96;19,3;7;6751;46;753;524;445;568;909;650;550;696;210;266;156;43;675
Virginia Tech       ;1;3754;VA;I;;;;;529;640;440;550;;;15712;11719;4277;29;53;18511;604;3926;10260;3176;;;;740;2200;85;89;13,8;20;8944;73;655;467;404;519;802;582;506;641;598;526;270;91;1485
University of Washin;1;3798;WA;I;;;;;500;640;420;550;22;27;12749;7025;3343;40;81;20356;4582;2907;8199;4218;;;;708;2172;96;94;9;10;16527;65;683;485;421;555;838;606;524;687;893;472;352;11;1906
Washington State Uni;1;3800;WA;I;;;;;430;560;370;480;;;6540;5839;2440;31;70;14445;1344;2907;8200;4210;3910;;160;800;2719;84;87;16,9;30;10912;56;597;447;393;470;734;559;488;584;337;281;279;62;965
West Virginia Univer;1;3827;WV;I;507;439;946;22;450;560;380;490;20;24;9630;7801;2881;23;49;14524;1053;2128;6370;4310;2284;2026;;;;83;86;13,4;;8318;57;535;431;361;439;642;521;438;529;335;237;272;22;895
Marquette University;2;3863;WI;I;561;492;1053;25;500;630;440;540;23;28;5152;4600;1685;36;71;7016;804;11610;11610;4760;;4760;150;600;1950;86;94;13,5;25;9982;77;705;521;426;527;884;662;525;662;94;238;151;0;483
University of Wiscon;1;3895;WI;I;;;;;510;660;430;570;23;28;14901;10932;4631;36;80;23945;2200;2737;9096;4290;2050;2240;;535;1545;93;96;11,5;20;11006;72;666;498;439;573;831;628;566;721;918;287;360;30;1641
University of Wiscon;1;3896;WI;I;;;;22;;;;;21;25;5244;3782;1930;12;37;11561;7443;2771;8786;2964;1964;1000;;570;1980;79;87;15,9;8;8094;38;604;465;421;495;761;598;544;632;267;306;192;2;797
University of Minnes;1;3969;MN;I;568;484;1052;23;500;650;420;550;20;26;11054;6397;3524;26;55;16502;21836;3171;8949;3744;1498;2246;414;714;2910;88;90;12,2;37;16122;45;662;468;418;557;842;613;552;719;785;468;271;12;1538
Ohio State Universit;1;6883;OH;I;;;;;450;610;400;530;20;26;15076;12860;5330;24;52;31039;6005;3087;9315;4484;;;;525;2550;;95;13,1;17;10900;56;703;491;415;555;846;603;516;676;758;679;443;30;1910
Rutgers at New Bruns;1;6964;NJ;I;594;513;1107;;530;660;460;570;;;48094;26330;4520;36;79;21401;3712;3640;7410;4748;2780;1986;1003;690;2009;90;95;19,5;19;10474;77;846;611;478;665;1045;780;624;838;601;393;258;90;1374
Pennsylvania State U;1;6965;PA;I;583;500;1083;;530;651;450;560;;;19315;10344;3450;48;93;28938;2025;4966;10645;4060;1840;2220;70;512;2394;77;96;18,1;19;8992;63;721;509;417;522;887;642;525;652;622;449;427;160;1799
Baylor University   ;2;6967;TX;I;;;;;500;620;430;540;21;25;6075;5349;2367;34;66;9919;484;6450;6450;3920;2230;1690;570;600;1346;71;76;18,5;38;7503;72;619;474;397;476;791;610;504;607;226;131;103;7;601
University of Virgin;1;6968;VA;I;;;;;590;710;520;630;;;15849;5384;2678;74;95;11278;114;3724;12212;3792;1816;1976;756;500;1000;90;92;9,5;22;13597;95;777;517;430;610;953;653;545;757;445;277;201;18;973
Miami University at ;1;7104;OH;I;;;;;540;640;470;560;23;27;9239;7788;3290;35;39;13606;807;3740;8856;3960;1860;2100;798;500;1382;81;89;17,6;20;7846;85;616;474;376;478;797;614;487;619;258;225;219;60;763
University of Michig;1;9092;MI;I;634;543;1177;27;580;700;490;600;25;30;19152;12940;4893;66;92;22045;1339;5040;15732;4659;;;175;476;1600;90;98;11,5;26;14847;87;777;577;460;605;955;731;595;760;850;419;472;9;1968
SUNY at Buffalo     ;1;9554;NY;I;572;480;1052;;550;650;450;550;;;15039;9649;3087;36;;13963;3124;2650;6550;4731;4731;;424;708;957;90;97;13,6;15;11177;56;762;548;423;601;970;704;534;767;400;338;218;9;982
Indiana State Univer;1;9563;IN;I;434;391;825;20;360;500;330;450;17;22;5659;4761;3147;10;31;8596;1949;2802;6892;3706;;;;600;2500;72;76;16,6;8;6996;40;500;394;343;423;647;513;438;545;248;133;151;16;548
University of Texas ;1;9741;TX;I;632;556;1188;27;580;690;480;640;24;30;1089;780;410;46;79;2106;2919;784;4536;4953;;;724;645;2979;91;96;20,8;;9094;;661;505;451;557;810;634;571;692;89;58;59;1;207
University of South ;1;10300;SD;I;;;;22;;;;;;;2160;2031;1268;15;39;5368;1066;1454;3811;2620;1208;1412;1125;675;1118;71;79;14,6;28;6456;;480;364;340;362;570;438;410;436;88;75;134;55;352
Univ. of New Mexico-;1;10313;NM;I;;;;22;430;580;390;530;19;24;3871;3349;1891;27;53;12257;5264;1884;7115;3516;;;420;584;500;91;88;14,3;;8209;34;579;431;379;466;693;521;459;561;314;268;195;0;837
Texas A&M Univ. at C;1;10366;TX;I;578;491;1069;25;510;640;430;550;22;27;14474;10519;6392;49;85;31643;2798;840;5130;3412;1772;1640;751;600;2144;89;91;23,1;29;8471;69;645;460;394;505;798;587;509;637;652;424;305;2;1546
